type,starting_time,finish_time,allocated_resources,job_id,submission_time
idle,0.0,0.0,0 1 2 3 4,-1,0.0
idle,0.0,2.0,5 6 7 8,-1,0.0
idle,0.0,6.0,9 10 11 12 13,-1,0.0
idle,0.0,30.0,14 15,-1,0.0
computing,0.0,148.0,0 1 2 3 4,1,0.0
computing,2.0,152.0,5 6 7 8,2,2.0
computing,6.0,153.0,9 10 11 12 13,3,6.0
switching_off,30.0,35.0,14 15,-2,30.0
sleeping,35.0,299.0,14,-4,35.0
sleeping,35.0,301.0,15,-4,35.0
idle,148.0,148.0,0 1 2 3,-1,148.0
idle,148.0,152.0,4,-1,148.0
computing,148.0,297.0,0 1 2 3,4,6.0
idle,152.0,152.0,5 6 7 8,-1,152.0
computing,152.0,299.0,4 5 6 7 8,5,10.0
idle,153.0,153.0,9 10 11 12,-1,153.0
idle,153.0,183.0,13,-1,153.0
computing,153.0,301.0,9 10 11 12,6,11.0
switching_off,183.0,188.0,13,-2,183.0
sleeping,188.0,297.0,13,-4,188.0
idle,297.0,302.0,0 1 2 3,-1,297.0
switching_on,297.0,302.0,13,-3,297.0
idle,299.0,299.0,4 5 6,-1,299.0
idle,299.0,304.0,7 8,-1,299.0
switching_on,299.0,304.0,14,-3,299.0
computing,299.0,448.0,4 5 6,8,16.0
idle,301.0,306.0,9 10 11 12,-1,301.0
switching_on,301.0,306.0,15,-3,301.0
idle,302.0,302.0,13,-1,302.0
computing,302.0,453.0,0 1 2 3 13,7,13.0
idle,304.0,304.0,14,-1,304.0
computing,304.0,450.0,7 8 14,13,26.0
idle,306.0,306.0,15,-1,306.0
computing,306.0,456.0,9 10 11 12 15,9,16.0
idle,448.0,450.0,4 5 6,-1,448.0
idle,450.0,450.0,7,-1,450.0
idle,450.0,453.0,8 14,-1,450.0
computing,450.0,597.0,4 5 6 7,10,22.0
idle,453.0,453.0,0 1 2 3 13,-1,453.0
computing,453.0,600.0,8 13 14,29,59.0
computing,453.0,602.0,0 1 2 3,11,22.0
idle,456.0,456.0,9 10 11 12 15,-1,456.0
computing,456.0,606.0,9 10 11 12 15,12,23.0
idle,597.0,600.0,4 5 6 7,-1,597.0
idle,600.0,600.0,8,-1,600.0
idle,600.0,602.0,13,-1,600.0
idle,600.0,630.0,14,-1,600.0
computing,600.0,750.0,4 5 6 7 8,14,26.0
idle,602.0,602.0,0 1 2 3,-1,602.0
computing,602.0,753.0,0 1 2 3 13,15,31.0
idle,606.0,606.0,9 10 11 12,-1,606.0
idle,606.0,636.0,15,-1,606.0
computing,606.0,758.0,9 10 11 12,16,32.0
switching_off,630.0,635.0,14,-2,630.0
sleeping,635.0,753.0,14,-4,635.0
switching_off,636.0,641.0,15,-2,636.0
sleeping,641.0,758.0,15,-4,641.0
idle,750.0,750.0,4 5 6 7 8,-1,750.0
computing,750.0,901.0,4 5 6 7 8,17,33.0
idle,753.0,758.0,0 1 2 3 13,-1,753.0
switching_on,753.0,758.0,14,-3,753.0
idle,758.0,758.0,14,-1,758.0
idle,758.0,763.0,9 10 11 12,-1,758.0
switching_on,758.0,763.0,15,-3,758.0
computing,758.0,908.0,0 1 2 3 13 14,18,41.0
idle,763.0,763.0,15,-1,763.0
computing,763.0,913.0,9 10 11 12 15,19,42.0
idle,901.0,901.0,4 5 6 7,-1,901.0
idle,901.0,908.0,8,-1,901.0
computing,901.0,1049.0,4 5 6 7,20,46.0
idle,908.0,908.0,0 1 2 3,-1,908.0
idle,908.0,913.0,13 14,-1,908.0
computing,908.0,1058.0,0 1 2 3 8,21,47.0
idle,913.0,913.0,9 10 11 12,-1,913.0
idle,913.0,943.0,15,-1,913.0
computing,913.0,1061.0,9 10 11 12 13 14,22,50.0
switching_off,943.0,948.0,15,-2,943.0
sleeping,948.0,1058.0,15,-4,948.0
idle,1049.0,1049.0,4 5 6 7,-1,1049.0
computing,1049.0,1200.0,4 5 6 7,24,53.0
idle,1058.0,1063.0,0 1 2 3 8,-1,1058.0
switching_on,1058.0,1063.0,15,-3,1058.0
idle,1061.0,1061.0,9 10 11 12 13,-1,1061.0
idle,1061.0,1091.0,14,-1,1061.0
computing,1061.0,1210.0,9 10 11 12 13,25,54.0
idle,1063.0,1063.0,15,-1,1063.0
computing,1063.0,1210.0,0 1 2 3 8 15,23,51.0
switching_off,1091.0,1096.0,14,-2,1091.0
sleeping,1096.0,1210.0,14,-4,1096.0
idle,1200.0,1200.0,4 5 6 7,-1,1200.0
computing,1200.0,1350.0,4 5 6 7,26,56.0
idle,1210.0,1210.0,0 1 2 3 8,-1,1210.0
idle,1210.0,1215.0,9 10 11 12 13,-1,1210.0
switching_on,1210.0,1215.0,14,-3,1210.0
idle,1210.0,1240.0,15,-1,1210.0
computing,1210.0,1359.0,0 1 2 3 8,27,57.0
idle,1215.0,1215.0,14,-1,1215.0
